Complexity metrics;Mo; 29 Mai 2017 17:44:37 MESZ;;;;
Method;ev(G);iv(G);v(G);;ev(G)=;Essential cyclomatic complexity
com.vnv.dao.fake.FakeUserRelDaoImpl.addUser(User);1;1;1;;;
com.vnv.dao.fake.FakeUserRelDaoImpl.deleteUser(long);1;1;1;;;
com.vnv.dao.fake.FakeUserRelDaoImpl.getFriends(User);1;1;1;;;
com.vnv.dao.fake.FakeUserRelDaoImpl.getNonRelatedUsers(User);1;4;4;;;
com.vnv.dao.fake.FakeUserRelDaoImpl.getRequestsRecv(User);1;1;1;;;
com.vnv.dao.fake.FakeUserRelDaoImpl.getRequestsSent(User);1;1;1;;;
"com.vnv.dao.fake.FakeUserRelDaoImpl.removeFriend(User;User)";2;1;2;;;
"com.vnv.dao.fake.FakeUserRelDaoImpl.removeRequest(User;User)";3;1;3;;;
"com.vnv.dao.fake.FakeUserRelDaoImpl.updateUser(User;long)";1;1;1;;;
"com.vnv.dao.impl.Neo4jUserRelDaoImpl.addFriend(User;User)";1;1;1;;;
"com.vnv.dao.impl.Neo4jUserRelDaoImpl.addRequest(User;User)";1;1;1;;;
com.vnv.dao.impl.Neo4jUserRelDaoImpl.addUser(User);1;1;1;;;
com.vnv.dao.impl.Neo4jUserRelDaoImpl.deleteUser(long);1;1;1;;;
com.vnv.dao.impl.Neo4jUserRelDaoImpl.getFriends(User);1;1;1;;;
com.vnv.dao.impl.Neo4jUserRelDaoImpl.getNonRelatedUsers(User);1;1;1;;;
com.vnv.dao.impl.Neo4jUserRelDaoImpl.getRequestsRecv(User);1;1;1;;;
com.vnv.dao.impl.Neo4jUserRelDaoImpl.getRequestsSent(User);1;1;1;;;
"com.vnv.dao.impl.Neo4jUserRelDaoImpl.removeFriend(User;User)";1;1;1;;;
"com.vnv.dao.impl.Neo4jUserRelDaoImpl.removeRequest(User;User)";1;1;1;;;
com.vnv.dao.impl.Neo4jUserRelDaoImpl.resultToCollection(StatementResult);1;3;3;;;
"com.vnv.dao.impl.Neo4jUserRelDaoImpl.updateUser(User;long)";1;1;1;;;
com.vnv.dao.impl.RedisCategoryDaoImpl.getAllCategories();1;1;1;;;
com.vnv.dao.impl.RedisCategoryDaoImpl.getCategoryByName(String);2;1;2;;;
com.vnv.dao.impl.RedisCategoryDaoImpl.insertCategory(Category);1;1;1;;;
com.vnv.dao.impl.RedisMessageDaoImpl.deleteMessageById(long);1;1;1;;;
com.vnv.dao.impl.RedisMessageDaoImpl.getAllMessages();1;1;1;;;
com.vnv.dao.impl.RedisMessageDaoImpl.getMessageById(long);1;1;1;;;
com.vnv.dao.impl.RedisMessageDaoImpl.getMessagesForReceiver(long);1;1;1;;;
com.vnv.dao.impl.RedisMessageDaoImpl.getMessagesForSender(long);1;1;1;;;
com.vnv.dao.impl.RedisMessageDaoImpl.getMessagesForUser(long);1;1;1;;;
com.vnv.dao.impl.RedisMessageDaoImpl.insertMessage(Message);1;1;1;;;
com.vnv.dao.impl.RedisPostDaoImpl.deletePost(long);1;1;1;;;
com.vnv.dao.impl.RedisPostDaoImpl.getAllPosts();1;2;2;;;
com.vnv.dao.impl.RedisPostDaoImpl.getOffersForUser(User);1;2;2;;;
com.vnv.dao.impl.RedisPostDaoImpl.getPostById(long);1;1;1;;;
com.vnv.dao.impl.RedisPostDaoImpl.getPostsForUser(User);1;2;2;;;
com.vnv.dao.impl.RedisPostDaoImpl.getRequestsForUser(User);1;2;2;;;
com.vnv.dao.impl.RedisPostDaoImpl.insertPost(Post);1;1;1;;;
com.vnv.dao.impl.RedisPostDaoImpl.updatePost(Post);1;1;1;;;
com.vnv.dao.impl.RedisUserDaoImpl.getAllUser();1;1;1;;;
com.vnv.dao.impl.RedisUserDaoImpl.getAllUserCensored();1;1;1;;;
com.vnv.dao.impl.RedisUserDaoImpl.getUserByFacebookId(String);3;3;3;;;
com.vnv.dao.impl.RedisUserDaoImpl.getUserByGoogleId(String);3;3;3;;;
com.vnv.dao.impl.RedisUserDaoImpl.getUserById(long);1;1;1;;;
com.vnv.dao.impl.RedisUserDaoImpl.getUserByMail(String);3;3;3;;;
com.vnv.dao.impl.RedisUserDaoImpl.getUserBySessionId(String);3;3;3;;;
com.vnv.dao.impl.RedisUserDaoImpl.insertUserToDb(User);1;1;1;;;
com.vnv.dao.impl.RedisUserDaoImpl.removeUserById(long);1;1;1;;;
com.vnv.dao.impl.RedisUserDaoImpl.updateUser(User);1;1;1;;;
com.vnv.entity.Category.getId();1;1;1;;;
com.vnv.entity.Category.getName();1;1;1;;;
com.vnv.entity.Category.getTime();1;1;1;;;
com.vnv.entity.Category.setId(Long);1;1;1;;;
com.vnv.entity.Category.setName(String);1;1;1;;;
com.vnv.entity.Category.setTime(long);1;1;1;;;
com.vnv.entity.Category.toJSON();1;1;1;;;
com.vnv.entity.Category.toString();1;1;1;;;
com.vnv.entity.GoogleCode.getClientId();1;1;1;;;
com.vnv.entity.GoogleCode.getCode();1;1;1;;;
com.vnv.entity.GoogleCode.getRedirectUri();1;1;1;;;
com.vnv.entity.GoogleCode.getState();1;1;1;;;
com.vnv.entity.GoogleCode.setClientId(String);1;1;1;;;
com.vnv.entity.GoogleCode.setCode(String);1;1;1;;;
com.vnv.entity.GoogleCode.setRedirectUri(String);1;1;1;;;
